1,adaptable,capable of fitting a particular situation or use
2,adventurous,willing to undertake new and daring enterprises
3,affectionate,having or displaying warmth or affection
4,ambitious,having a strong desire for success or achievement
5,amiable,diffusing warmth and friendliness
6,compassionate,showing or having sympathy for another's suffering
7,considerate,showing concern for the rights and feelings of others
8,courageous,able to face and deal with danger or fear without flinching
9,courteous,characterized by politeness and gracious good manners
10,diligent,characterized by care and perseverance in carrying out tasks
11,empathetic,showing ready comprehension of others' states
12,exuberant,unrestrained - especially with regard to feelings
13,frank,characterized by directness in manner or speech
14,generous,willing to give and share unstintingly
15,gregarious,temperamentally seeking and enjoying the company of others
16,impartial,free from undue bias or preconceived opinions
17,intuitive,obtained through instinctive knowledge
18,inventive,marked by independence and creativity in thought or action
19,passionate,having or expressing strong emotions
20,persistent,stubbornly unyielding
21,philosophical,meeting trouble with level-headed detachment
22,practical,guided by experience and observation rather than theory
23,rational,having its source in or being guided by the intellect
24,reliable,worthy of trust
25,resourceful,adroit or imaginative
26,sensible,able to feel or perceive
27,sincere,open and genuine; not deceitful
28,sympathetic,expressing compassion or friendly fellow feelings
29,unassuming,not arrogant
30,witty,demonstrating striking cleverness and humor
